Year,Station,Month,Rainfall,StationIndex
1998,Sylhet,4,548,31
1998,Sylhet,5,366,31
1998,Sylhet,6,858,31
1998,Sylhet,7,1245,31
1998,Sylhet,8,665,31
1998,Sylhet,9,313,31
1998,Sylhet,10,90,31
1998,Sylhet,11,42,31
1998,Sylhet,12,0,31
1999,Sylhet,1,0,31
1999,Sylhet,2,0,31
1999,Sylhet,3,49,31
1999,Sylhet,4,207,31
1999,Sylhet,5,731,31
1999,Sylhet,6,472,31
1999,Sylhet,7,775,31
1999,Sylhet,8,503,31
1999,Sylhet,9,253,31
1999,Sylhet,10,344,31
1999,Sylhet,11,0,31
1999,Sylhet,12,0,31
2000,Sylhet,1,48,31
2000,Sylhet,2,3,31
2000,Sylhet,3,119,31
2000,Sylhet,4,500,31
2000,Sylhet,5,670,31
2000,Sylhet,6,1120,31
2000,Sylhet,7,330,31
2000,Sylhet,8,981,31
2000,Sylhet,9,733,31
2000,Sylhet,10,188,31
2000,Sylhet,11,0,31
2000,Sylhet,12,0,31
2001,Sylhet,1,0,31
2001,Sylhet,2,143,31
2001,Sylhet,3,42,31
2001,Sylhet,4,177,31
2001,Sylhet,5,481,31
2001,Sylhet,6,729,31
2001,Sylhet,7,612,31
2001,Sylhet,8,609,31
2001,Sylhet,9,347,31
2001,Sylhet,10,281,31
2001,Sylhet,11,55,31
2001,Sylhet,12,0,31
2002,Sylhet,1,2,31
2002,Sylhet,2,2,31
2002,Sylhet,3,78,31
2002,Sylhet,4,441,31
2002,Sylhet,5,548,31
2002,Sylhet,6,701,31
2002,Sylhet,7,841,31
2002,Sylhet,8,469,31
2002,Sylhet,9,396,31
2002,Sylhet,10,108,31
2002,Sylhet,11,132,31
2002,Sylhet,12,14,31
2003,Sylhet,1,0,31
2003,Sylhet,2,0,31
2003,Sylhet,3,170,31
2003,Sylhet,4,311,31
2003,Sylhet,5,359,31
2003,Sylhet,6,1038,31
2003,Sylhet,7,497,31
2003,Sylhet,8,438,31
2003,Sylhet,9,499,31
